UGA @ SAVANNAH AA(1893) / UGA @ AUBURN(1899) / UGA @ BAMA(1901) / UGA @ AUB(1901) / UGA @ TECH(1902) / TENN @ UGA(1906) / UGA @ BAMA(1907) / UGA @ CITADEL(1909) / DAVIDSON @ UGA(1909) / UGA @ CLEM(1910) / UGA @ AUB(1911) /  UGA @ AUB(1914) / UGA @ TECH(1915) / CLEM @ UGA(1919) / UGA @ VIRGINIA(1920) / UGA @ UF(193O) /  UGA @ TECH(1932) / UGA @ AUB(1937) / TECH @ UGA(1938) / UNC @ UGA(1950) / UGA @ BAMA(1954),,UGA @ SCAR(1904),UGA  @ AUB(1916) / UGA @ TECH(1925) / UGA @ FSU(1961),,UGA @ TENN(1899) / UGA @ UNC(1899) / UGA @ CLEM(1909),UGA @ UNC(1895) /UGA @ VANDY(1895) / UGA @ SAVANNAH AA(1903) / UGA @ CLEM(1906) / UGA @ BAMA(1919) / UGA @ UF(1937) / UGA @ MSST(1951) / TEXAS A&M @ UGA(1954) / UGA @ AUB(1957) / UGA @ TECH(1969),UGA @ TECH(1914) / UGA @ AUB(1919) / UGA @ DARTMOUTH(1921) / UGA @ AUB(1939) / UGA @ TECH(1947) / TECH @ UGA(1950) / LSU @ UGA(1951),,UGA @ AUB(1909) / MSST @ UGA(1914),UGA @ AUB(1892) / UGA @ CLEM(1904) / UGA @ TENN(1908) / UGA @ BAMA(1991),UGA @ SEWANEE(1902),UGA @ SEWANEE(1899) / UGA @ SAVANNAH AA(1906) / AUB @ UGA(1915) / VANDY @ UGA(1922) / UGA @ TECH(1927) / UGA @ BAMA(1958),UGA @ BAMA(193O) / LSU @ UGA(1935) / HOLY CROSS @ UGA(1939) / UGA @ TECH(1939),UGA @ BAMA(1909) / UNC @ UGA(1934) / UGA @ MISSISSIPPPI SOUTHERN(1953) / TULANE @ UGA(1955) / UGA @ VANDY(1956) / AUB @ UGA(1963) / TENN @ UGA(1972),DAVIDSON @ UGA(1906) / TENN @ UGA(1907),SEWANEE @ UGA(1907),SCAR @ UGA(1903) / UGA @ TECH(1906),FSU @ UGA(1962),UGA @ YALE(1926) / UGA @ BAMA(1928),UGA @ AUB(1905) / UGA @ CHICAGO(1922) / UGA @ FURMAN(1939) / UGA @ AUB(1956),TECH @ UGA(1916) / UGA @ UF(1957) / VANDY @ UGA(1961),,UGA @ AUB(1908),,UGA @ TULANE(1930) / UGA @ UK(1949),UGA @ AUB(1910) / UGA @ UK(1947) / UGA @ MICHIGAN,UGA @ UNC(1901) / UGA @ BAMA(1925) / UGA @ UF(1984),UGA @ VIRGINIA(1914) / UGA @ UF(1956),CLEM @ UGA(1903),UGA @ UF(1952),UGA @ USC(1933) / VIRGINIA @ UGA(1979) / BAMA @ UGA(1995),UGA @ TENN(1937) / LSU @ UGA(1945),VANDY @ UGA(1903) / UGA @ BAMA(1924) / UK @ UGA(1977),,UGA @ VANDY(1893) / CLEM @ UGA(1905) / UGA @ AUB(1954) / TECH @ UGA(1956) / UGA @ BAMA(1962),UGA @ CLEM(1902) / UGA @ BAMA(1905) / UGA @ BAMA(1923),MARYLAND @ UGA(1952),,CUMBERLAND @ UGA(1905),UGA @ YALE(1923),,,,UGA @ UNC(1898) / UGA @ AUB(1900) / TECH @ UGA(1944),,UGA @ TECH(1905) / UGA @ VANDY(1912) / TENN @ UGA(1936),UGA @ VANDY(1901),UGA @ SEWANEE(1901) / UGA @ TECH(1943),,,,,,,UGA @ UNC(1900),,,,,UGA @ USC(1931)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAVIDSON @ UGA(1908),,,,,,,,,,,,,,,,UGA @ ARKANSAS(B1968),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA @ TENN(1909) / UGA @ BAMA(1916) / UGA @ VANDY(1924) / FSU @ UGA(1956),,,CENTRE @ UGA(1923),,,,UGA @ AUB(1922) / TECH @ UGA(1954),,,UGA @ USC(1960) / UGA @ FSU(1965),,,UGA @ CLEM(1981),UGA @ TECH(1963),,AUB @ UGA(1969),TENN @ UGA(1969),,,AUB @ UGA(1989),UGA @ TECH(1955),TENN @ UGA(1998),,,,,UGA @ NAVY(1916) / UGA @ PITT(B1976) / UGA @ UF(2015),,,,UGA @ BAMA(1964),,,UGA @ CLEM(1990),,,,,,,,,,,,,,,,,,,,,,,,,,
UGA @ VANDY(1898) / UGA @ AUB(1906),,,,,,,,VIRGINIA TECH @ UGA(1932),,,,,,,,,UGA @ VIRGINIA(1897) / UGA @ VANDY(1911),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCAR @ UGA(1900) / UGA @ BAMA(1902) / UGA @ TENN(1903) / UGA @ TECH(1911) / CITADEL @ UGA(1916),,,,,,,,,,,,,,,,UGA @ BAMA(1904),,,,,,,,,,,,,CLEM @ UGA(1901),,,,,,,,,,CLEM @ UGA(1900),,,,,,,,,,,,,,,,,,,,,
UGA @ AUB(1907) / UGA @ AUB(1924) / UGA @ UF(1950),,UGA @ UF(1939),,,,UGA @ BAMA(1908) / UGA @ CHATTANOOGA(1915) / UGA @ VIRGINIA / UNC @ UGA(1932) / UGA @ TECH(1937),UGA @ YALE(1924) / VIRGINIA @ UGA(1925) / UGA @ TULANE(1934) /  UGA @ HOLY CROSS(1937) / UGA @ TECH(1949) / UGA @ UF(1958) / UGA @ MIAMI(1966) / UGA @ MSST(1970) / CLEM @ UGA(1977),,VANDY @ UGA(1957) / UGA @ AUB(1960),UGA @ UNC(1895) / UGA @ TECH(1907) / UGA @ BAMA(1922) / UGA @ UCF(B2010),,UGA @ TECH(1909) / UGA @ VANDY(1932),UGA @ VIRGINIA(1913) / RICE @ UGA(1936) / UGA @ UK(1939),UGA @ AUB(1933) /LSU @ UGA(1953),,UGA @ AUB(1895),UGA @ SCAR(2010) / DAVIDSON @ UGA(1901) / UGA @ AUB(1904) / BAMA @ UGA(1935),UGA @ UF(1929),,UGA @ TECH(1928),UGA @ SEWANEE(1900) / UGA @ YALE(1928) / UGA @ AUB(1958) / UGA @ BAMA(1960),,UGA @ TECH(1904),UGA @ AUB(2004),,UGA @ UF(1928) / UGA @ BAMA(1934),UGA @ LSU(1943),TECH @ UGA(1893) / UGA @ YULANE(1938),UGA @ HOLY CROSS(1938),,,BAMA @ UGA(1961),UGA @ BAMA(1926),,,,TECH @ UGA(1962),UGA @ TENN(1993),,,UGA @ UNC(1914),,,,UGA @ NEBRASKA(B1969),,,UGA @ TECH(1951),,,,,,,,,,,,
UGA @ FURMAN(1920) / UGA @ AUB(1920) / UGA @ aUB(1921) / UGA @ FURMAN(1922) / MERCER @ UGA(1923) / UGA @ AUB(1923) / UGA @ VIRGINIA(1924) / FURMAN @ UGA(1928) /  UGA @ YALE(1933) / TECH @ UGA(1934) / UGA @ UF(1935) / UGA CS AUB(1941) / WAKE @ UGA(1943) / LSU @ UGA(1949) / UGA @ TULANE(1954) / UGA @ TECH(1957) / UGA @ VANDY(1964) / TECH @ UGA(1964) / UGA @ TEXAS TECH(B1964) / UGA @ SCAR(1966),,UGA @ FURMAN(1934),TENN @ UGA(1922) / UGA @ COLUMBIA(1941) / UGA @ UNC(B1971),,,UGA @ SEWANEE(1914) / UGA @ NYU(193O) / UGA @ NYU(1931) / UGA @ TECH(1933) / TULANE @ UGA(1937) /  UGA @ SCAR(1938) / UGA @ UK(1942) / UGA @ UF(1951) / TECH @ UGA(1960),VIRGINIA @ UGA(1919) / UGA @ TULANE(1919) / UGA @ VANDY(1921) / UGA @ FORDHAM(1936) / UK @ UGA(1940) / UGA @ SAINT MARY'S(1950) / UGA @ MIAMI(1956) / UGA @ SCAR(1962) / UK @ UGA(1962) / UGA @ CLEMSON(1963) / UGA @ SCAR(1964) / PITT @ UGA(1973),,VIRGINIA @ UGA(1915),UGA @ HARVARD(1921) / AUB @ UGA(1961),SOUTHERN MISS @ UGA(1996),UGA @ TENN(1925) / UK @ UGA(1973) / UGA @ CLEM(1979),OGLETHORPE @ UGA(1929) / UGA @ NYU(1932) / UAG @ MIAMI(1938) / AUB @ UGA(1983),UGA @ CENTRE(1924) / FURMAN @ UGA(1926) / UGA @ AUB(1932) / WAKE @ UGA(1944) / UGA @ UNC(1947) / BAMA @ UGA(1949) / UGA @ BAMA(1950) / UK @ UGA(1956) / UGA @ AUB(1964) / UGA @ NCST(B1967),LSU @ UGA(1944),UGA @ TECH(1977),BAMA @ UGA(1947) / TECH @ UGA(1970),UGA @ DANIEL FIELD(1943),UGA @ AUB(1935) / UGA @ TECH(1935) / MSST @ UGA(1956),TULANE @ UGA(1931),UGA @ AUB(1913) / UGA @ UF(1953),UGA @ TECH(1961),,,BAMA @ UGA(1972),UGA @ CLEMSON(1955) / UGA @ TEXAS(1957),,UGA @ UF(1949) / UGA @ UNC(1963),,,,UGA @ MIAMI(1961) / BAMA @ UGA(1963),,,UGA @ VANDY(1923) / UGA @ YALE(1925) / UGA @ SCAR(2012),,,UGA @ UF(1990) / UGA @ UF(1998),,,,,MARYLAND @ UGA(1951),,,,UGA @ LSU(1936) / UGA @ UF(1996),,,,,,,,,,,,,
UGA @ CLEM(1907) / UGA @ CLEM(1908),,,,,MERCER @ UGA(1911),,,,,,,SEWANEE @ UGA(1894),UGA @ TEXAS(1958),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VANDY @ UGA(1931) / UGA @ UCLA(CHIP1942),,,OLE MISS @ UGA(1966),,,MIZ @ UGA(2015),,,,,,,UGA @ COLUMBIA(1940) / UGA @ MIAMI(1949),SCAR @ UGA(2001),,,,,PITT @ UGA(1975),,,,TECH @ UGA(1952),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
